hallName,roomNumber,bedNumber,status
South,101,A,occupied
South,101,B,occupied
South,101,C,occupied
South,101,D,free
South,102,A,free
South,102,B,occupied
South,102,C,free
South,102,D,free
South,103,A,free
South,103,B,free
South,103,C,free
South,103,D,free
South,104,A,free
South,104,B,free
South,104,C,free
South,104,D,free
South,105,A,free
South,105,B,free
South,105,C,free
South,105,D,free
South,106,A,free
South,106,B,free
South,106,C,free
South,106,D,free
South,107,A,free
South,107,B,free
South,107,C,free
South,107,D,free
South,108,A,free
South,108,B,free
South,108,C,free
South,108,D,free
South,109,A,free
South,109,B,free
South,109,C,free
South,109,D,free
South,110,A,free
South,110,B,free
South,110,C,free
South,110,D,free
South,111,A,free
South,111,B,free
South,111,C,free
South,111,D,free
South,112,A,free
South,112,B,Occupied
South,112,C,free
South,112,D,free
South,113,A,free
South,113,B,free
South,113,C,free
South,113,D,free
South,114,A,free
South,114,B,free
South,114,C,free
South,114,D,free
South,115,A,free
South,115,B,free
South,115,C,free
South,115,D,free
South,116,A,free
South,116,B,free
South,116,C,free
South,116,D,free
South,117,A,free
South,117,B,free
South,117,C,free
South,117,D,free
South,118,A,free
South,118,B,free
South,118,C,free
South,118,D,free
South,119,A,free
South,119,B,free
South,119,C,free
South,119,D,free
South,120,A,free
South,120,B,free
South,120,C,free
South,120,D,free
South,121,A,free
South,121,B,free
South,121,C,free
South,121,D,free
South,122,A,free
South,122,B,free
South,122,C,free
South,122,D,free
South,123,A,free
South,123,B,free
South,123,C,free
South,123,D,free
South,124,A,free
South,124,B,free
South,124,C,free
South,124,D,free
South,125,A,free
South,125,B,free
South,125,C,free
South,125,D,free
South,126,A,free
South,126,B,free
South,126,C,free
South,126,D,free
South,127,A,free
South,127,B,free
South,127,C,free
South,127,D,free
South,128,A,free
South,128,B,free
South,128,C,free
South,128,D,free
South,129,A,free
South,129,B,free
South,129,C,free
South,129,D,free
South,130,A,free
South,130,B,free
South,130,C,free
South,130,D,free
South,201,A,occupied
South,201,B,occupied
South,201,C,free
South,201,D,occupied
South,202,A,free
South,202,B,occupied
South,202,C,free
South,202,D,free
South,203,A,free
South,203,B,occupied
South,203,C,free
South,203,D,free
South,204,A,free
South,204,B,free
South,204,C,free
South,204,D,free
South,205,A,free
South,205,B,free
South,205,C,free
South,205,D,free
South,206,A,free
South,206,B,free
