recordID,studentID,type,timestamp
R1,230042103,Entry,2025-01-09 08:30:00
R2,230042112,Entry,2025-01-09 09:15:00
R3,230042137,Exit,2025-01-09 10:00:00
R4,200041055,Entry,2025-01-09 11:20:00
R5,230042103,Exit,2025-01-09 14:30:00
R6,210042088,Entry,2025-01-09 15:45:00
R7,220043099,Entry,2025-01-09 16:00:00
R8,230042112,Exit,2025-01-09 17:30:00
R9,230042145,Entry,2025-01-09 18:00:00
R10,200041066,Entry,2025-01-09 19:15:00
R11,230042112,Entry,2026-01-10 20:57:01
R12,230042112,Entry,2026-01-10 21:08:26
R13,230042112,Exit,2026-01-10 21:08:33
R14,230042112,Entry,2026-01-12 22:18:40
R15,230042112,Exit,2026-01-19 12:45:01
R16,230042112,Entry,2026-01-23 00:30:09
R17,230042112,Exit,2026-01-23 00:30:13
R18,230042137,Entry,2026-01-23 00:45:55
R19,230042137,Exit,2026-01-23 00:46:02
R20,230042103,Entry,2026-01-23 13:58:33
R21,230042137,Entry,2026-01-25 22:42:02
R22,230042137,Exit,2026-01-25 22:42:11
